(0, -1277)
(34, -1421)
(818, -2477)
(833, -2472)
(792, -2304)
(780, -2224)
(739, -2065)
(731, -2004)
(718, -1931)
(704, -1860)
(696, -1805)
(687, -1750)
(677, -1694)
(669, -1644)
(656, -1584)
(643, -1526)
(640, -1493)
(635, -1456)
(628, -1417)
(622, -1381)
(614, -1341)
(614, -1320)
(609, -1289)
(600, -1250)
(597, -1223)
(591, -1193)
(592, -1176)
(585, -1146)
(583, -1123)
(578, -1098)
(570, -1068)
(569, -1049)
(567, -1031)
(560, -1004)
(560, -989)
(556, -967)
(553, -950)
(549, -928)
(548, -914)
(543, -893)
(541, -879)
(534, -854)
(539, -851)
(544, -848)
(544, -836)
(531, -805)
(536, -802)
(510, -753)
(511, -746)
(516, -743)
(521, -739)
(517, -725)
(521, -721)
(516, -705)
(520, -701)
(522, -695)
(516, -678)
(518, -672)
(513, -657)
(509, -644)
(512, -640)
(511, -631)
(512, -624)
(516, -621)
(507, -603)
(510, -599)
(512, -594)
(507, -581)
(510, -576)
(511, -571)
(511, -564)
(513, -559)
(506, -545)
(508, -540)
(510, -535)
(510, -529)
(508, -521)
(507, -513)
(508, -508)
(509, -503)
(506, -493)
(502, -484)
(501, -477)
(498, -469)
(501, -466)
(502, -461)
(505, -458)
(499, -447)
(498, -441)
(500, -437)
(503, -434)
(505, -430)
(501, -421)
(500, -416)
(502, -412)
(499, -404)
(502, -401)
(498, -393)
(498, -388)
(495, -381)
(493, -375)
(493, -370)
(494, -366)
(496, -363)
(497, -359)
(498, -355)
(498, -351)
(494, -343)
(496, -340)
(498, -337)
(494, -330)
(495, -326)
(494, -321)
(494, -317)
(494, -312)
(494, -308)
(491, -302)
(493, -299)
(493, -295)
(493, -291)
(495, -288)
(491, -282)
(492, -278)
(489, -273)
(488, -269)
(489, -265)
(489, -261)
(491, -258)
(489, -254)
(488, -249)
(487, -245)
(489, -242)
(487, -238)
(489, -235)
(490, -232)
(491, -228)
(488, -223)
(483, -217)
(483, -214)
(479, -209)
(480, -206)
(481, -203)
(479, -198)
(479, -195)
(480, -192)
(482, -189)
(475, -183)
(474, -179)
(478, -177)
(479, -174)
(480, -171)
(476, -167)
(478, -164)
(478, -161)
(477, -157)
(479, -155)
(479, -151)
(480, -148)
(477, -144)
(478, -141)
(478, -138)
(479, -135)
(478, -132)
(477, -129)
(476, -125)
(475, -122)
(475, -119)
(476, -116)
(475, -112)
(476, -110)
(477, -107)
(478, -104)
(477, -101)
(478, -98)
(478, -95)
(479, -92)
(476, -88)
(477, -85)
(477, -82)
(477, -79)
(476, -76)
(477, -73)
(471, -69)
(470, -66)
(470, -63)
(471, -61)
(471, -58)
(471, -55)
(472, -52)
(472, -49)
(469, -46)
(470, -43)
(469, -40)
(468, -37)
(468, -34)
(468, -31)
(466, -28)
(466, -25)
(465, -22)
(467, -20)
(467, -17)
(467, -14)
(467, -11)
(467, -8)
(467, -5)
(467, -2)
(468, 0)
(464, 2)
(464, 5)
(464, 8)
(464, 11)
(464, 14)
(463, 17)
(464, 19)
(464, 22)
(464, 25)
(466, 28)
(465, 31)
(466, 34)
(466, 37)
(472, 40)
(476, 44)
(476, 46)
(471, 49)
(466, 51)
(464, 54)
(463, 57)
(461, 59)
(460, 62)
(462, 65)
(461, 68)
(464, 71)
(464, 74)
(458, 76)
(455, 78)
(454, 81)
(454, 84)
(452, 87)
(451, 89)
(448, 92)
(448, 94)
(448, 97)
(446, 100)
(446, 103)
(446, 106)
(445, 108)
(445, 111)
(444, 114)
(443, 116)
(443, 119)
(442, 122)
(441, 125)
(439, 127)
(440, 130)
(439, 133)
(437, 135)
(436, 138)
(437, 141)
(433, 143)
(433, 146)
(436, 150)
(433, 151)
(431, 154)
(431, 157)
(433, 160)
(430, 162)
(429, 165)
(429, 168)
(428, 171)
(426, 173)
(425, 176)
(427, 180)
(426, 182)
(425, 185)
(426, 189)
(427, 192)
(428, 196)
(430, 200)
(429, 203)
(431, 207)
(429, 209)
(429, 212)
(428, 215)
(427, 218)
(426, 221)
(426, 224)
(423, 226)
(423, 229)
(424, 233)
(422, 235)
(421, 238)
(420, 241)
(419, 244)
(417, 246)
(415, 249)
(416, 252)
(418, 258)
(417, 260)
(418, 264)
(417, 267)
(416, 271)
(414, 273)
(417, 278)
(416, 282)
(415, 285)
(414, 288)
(412, 290)
(411, 293)
(410, 296)
(408, 298)
(412, 306)
(410, 308)
(409, 311)
(409, 315)
(407, 318)
(407, 321)
(405, 324)
(404, 328)
(406, 333)
(405, 336)
(404, 339)
(403, 343)
(401, 346)
(399, 349)
(397, 351)
(397, 355)
(397, 360)
(399, 366)
(398, 370)
(396, 372)
(393, 375)
(394, 380)
(392, 383)
(391, 387)
(391, 391)
(391, 396)
(388, 398)
(386, 401)
(388, 408)
(387, 412)
(387, 417)
(386, 421)
(382, 422)
(383, 428)
(382, 432)
(382, 437)
(380, 440)
(378, 443)
(379, 451)
(377, 454)
(375, 457)
(375, 463)
(373, 466)
(372, 470)
(370, 474)
(372, 483)
(369, 486)
(369, 491)
(366, 494)
(366, 501)
(364, 504)
(361, 506)
(363, 515)
(361, 519)
(358, 521)
(356, 526)
(356, 533)
(355, 539)
(353, 544)
(352, 549)
(352, 556)
(352, 564)
(349, 567)
(349, 575)
(357, 596)
(353, 598)
(350, 601)
(346, 602)
(342, 603)
(338, 605)
(335, 609)
(340, 627)
(337, 631)
(334, 634)
(335, 647)
(335, 656)
(339, 675)
(337, 680)
(333, 682)
(329, 685)
(324, 687)
(320, 688)
(312, 681)
(306, 681)
(302, 682)
(297, 682)
(291, 681)
(285, 677)
(280, 677)
(274, 674)
(270, 675)
(265, 675)
(260, 675)
(256, 676)
(250, 673)
(246, 674)
(240, 673)
(236, 673)
(228, 664)
(223, 663)
(219, 664)
(215, 666)
(214, 676)
(210, 678)
(208, 687)
(205, 693)
(212, 733)
(211, 744)
(209, 757)
(203, 754)
(199, 756)
(195, 761)
(193, 772)
(190, 780)
(186, 787)
(186, 806)
(181, 808)
(181, 830)
(178, 843)
(175, 853)
(172, 868)
(170, 884)
(237, 1274)
(235, 1310)
(230, 1329)
(222, 1330)
(219, 1361)
(214, 1386)
(210, 1422)
(207, 1458)
(202, 1489)
(196, 1516)
(190, 1545)
(186, 1595)
(182, 1644)
(177, 1695)
(171, 1740)
(166, 1808)
(159, 1852)
(152, 1902)
(145, 1972)
(137, 2035)
(127, 2076)
(118, 2140)
(108, 2215)
(98, 2296)
(84, 2297)
(70, 2297)
(17, 716)
(13, 716)
(8, 716)
(4, 716)
(0, 716)

(781, -2272)
(742, -2114)
(736, -2059)
(729, -2001)
(716, -1928)
(707, -1868)
(695, -1803)
(685, -1744)
(675, -1688)
(665, -1635)
(652, -1576)
(642, -1524)
(638, -1489)
(629, -1443)
(627, -1415)
(622, -1381)
(614, -1341)
(610, -1310)
(606, -1282)
(603, -1256)
(597, -1224)
(588, -1188)
(587, -1167)
(583, -1142)
(583, -1123)
(571, -1085)
(568, -1063)
(570, -1052)
(562, -1022)
(560, -1003)
(556, -983)
(552, -960)
(555, -952)
(546, -924)
(547, -912)
(546, -898)
(540, -876)
(538, -861)
(534, -844)
(540, -841)
(539, -829)
(544, -826)
(513, -748)
(518, -745)
(521, -740)
(517, -725)
(519, -718)
(513, -701)
(518, -698)
(519, -691)
(515, -677)
(515, -668)
(509, -652)
(511, -647)
(513, -641)
(516, -637)
(515, -627)
(509, -612)
(506, -602)
(505, -592)
(508, -589)
(511, -585)
(512, -579)
(506, -566)
(509, -561)
(508, -554)
(507, -546)
(510, -542)
(510, -535)
(505, -524)
